Bolag;Datum;Lista;Radgivare;Flaggor(st);Erbjudande(Mkr);Utveckling(%);Borsvarde(Mkr);Teckningskurs(kr);Ande nyemission(%);Teckningsatagare;Garantiatagare;Andel sakrad(%);VD;Ordforande;Nyckelpersons agande;Storagare;Saljande storägare;Storleksklass;Uttnyttjad overtilldelning;Utv forsta dagen;Hemsida;Ovriga radgivare
Northgold;2022-03-24;First North;Augment Partners ;5;44;                          -        ;126;11,6;100;Richard Gazal,Andrew Randall,Kimberly Wrixon,Otto Persson (ordforande) via Hylbo Gard,Ej namngivna;;73.,6;Mitch Vanderydt;Otto Persson;11,6;Magnus Minerals,Aurora Exploration,Andrew Randall,Kimberly Wrixon,Richard Gazal;;Mikrobolag;0;-;northgoldab.com;Schjødt,Aqurat,Nordnet Bank 
Rebelle;2022-02-25;First North;Vator ;2;200;                          -        ;626;28;100;Swedbank Robur Ny Teknik,Skandia Fonder,Thoren Tillvaxt,Reti Televisive Italiane,Ej namngivna;;90;Max Schonemann;Hans-Christian Semmler;36,84;Hans-Christian Semmler (ordforande) via HCS Beteiligungsgesellschaft,Swedbank Robur Ny Teknik (via teckningsatagande),Christoffer Martinsen (ledamot) Konigsfeldt via Friheden Invest,Deutsche Balaton Aktiengesellschaft,Robert Frowein (ledamot) via Style Beteiligungs GmbH & Co;;Smabolag;0;-;ir.rebelle.com;Gernandt & Danielsson 
BeammWave;2022-03-11;First North;G&W FK ;3;60;                          -        ;210;15,85;100;Concejo Invest,Arne Grundstrom,Clas Mellgren,P O Andersson,Bengt Walerud;;81.,5;Stefan Svedberg;Fredrik Rosenqvist;32,97;Per-Olof Brandt,Markus Tormanen,Almi,LU Holding,Concejo Invest (via teckningsforbindelser);;Smabolag;0;-;beammwave.com;Delphi 
Var Energi;2022-02-16;Oslo Børs;DNB,J.P Morgan,Morgan Stanley,SpareBank ;2;6807;                          0        ;77239;29,75;0;;;0;Torger Rød;Thorhild Widvey;Uppgift saknas;Eni International,HitecVision via Point Resources Holding;									Eni International,					Point Resources Holding			;Miljardbolag;100;-6,82;varenergi.no;ABG Sundal Collier,BofA Securities,Carnegie,Jefferies,Pareto,Schjødt,BAHR,Latham & Watkins,Linklaters 
Move About Group;2022-02-23;First North;Mangold FK ;5;45;                          -        ;234;9,4;100;Mangold FK,Daniel Johnsson,Aggregate Media,Michael Lindhoff,Reidar Langmo (ledamot) via Rebelijo;;69.,8;Morten von Krogh;Morten Wiese;26,54;Reidar Langmo (ledamot) via Rebelijo,Jarle Frøshaug (senior radgivare) via bolag,Erik Nordenfelt (CTO) via bolag,Bjørn E. A. Hviding via Capta Invest,Mangold FK;;Smabolag;0;-;moveaboutgroup.com;Eversheds Sutherland Advokatbyra,Nordnet Bank 
Purefun Group;2022-02-14;First North;Eminova ;1;57;                          -1        ;250;25;0;Tass,Polynom Investment,Sonny Johansson,Andreas Bergstrom,Ej namngivna;;72;Michael Ahlén;Niklas Wolfhagen;77,03;Michael och Catharina Ahlén,Tass (via teckningsatagande),Polynom Investment (via teckningsatagande),Sonny Johansson (via teckningsatagande),Andreas Bergstrom (via teckningsatagande);									Michael och Catharina Ahlén			;Smabolag;100;8,6;www.purefungroup.com;Delphi 
Smart Valor;2022-02-10;First North;Mangold FK ;4;22;                          -44        ;874;57,5;100;;;0;Oliver Feldmeier;Olga Feldmeier;71,2;Olga Feldmeier,Oliver Feldmeier,Thomas Felber;;Smabolag;0;-35,65;smartvalor.com;Eversheds Sutherland Advokatbyra 
Hubbster;2022-03-02;NGM SME;Stockholm Corp. ;4;20;                          -        ;143;7,8;100;Taptum,Xpecunia Nordic,Peter Hamberg privat och via Hamberg Forvaltning,Magnus Hogstrom,Tigerrace;;65.,9;Gustaf Hesselman;Anna Skarke;38,57;Fredrik & Anna Skarke (Ordforande) via FAAV Invest & Taptum,EPTI (medgrundare),Peter Follin (Head of Expert Services) via Performus,Cassatoria Invest (medgrundare),Corporate Core Pilots (medgrundare);;Smabolag;0;-;hubbster.com;Cirio,Aqurat 
Newbury Pharmaceuticals;2022-02-04;First North;Vastra Hamnen ;1;50;                          -31        ;254;13;100;AZTIQ via Sumar Pharma,ES Aktiehandel,Urus,Karl Karlsson (styrelseordforande), privat och via Alsakali Equity,Polynom Investment;;80;Lars Minor;Karl Karlsson;51,74;Karl Karlsson (styrelseordforande), privat och via Alsakali Equity,AZTIQ via Sumar Pharma,ES Aktiehandel (via teckningsatagande),Urus (via teckningsatagande),Polynom Investment;;Smabolag;0;-3,08;www.newburypharma.com;Lindahl,Aqurat 
Lyckegard;2022-02-21;First North;Sedermera Corporate Finance ;2;32;                          -24        ;92;5,95;100;First Venture Sweden,Delcea Forvaltning,Magnus Wahlquist,Entreprenorinvest Sverige,Almi Invest;;73.,8;Christian Bjarntoft;Anders Holm;27,26;Lars Askling (ledamot) via JLK Fastigheter,Hans Bergengren (ledamot),Entreprenorinvest Sverige,Almi Invest,First Venture Sweden;;Mikrobolag;0;-;lyckegard.com;Nordic Issuing,Markets & Corporate Law,Shark Communication,Nordnet Bank 
